time,symbol,action,strategy_type,sub_variant,alloc,price,qty,reason,trade_id
2023-02-24T12:00:00.000Z,SOL,enter,trend,strict6,1,23.79,420.34000000000003,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0001
2023-02-24T18:00:00.000Z,SOL,exit,trend,trend,1,22.86,420.34000000000003,sma-break,retq22-0001
2023-03-18T12:00:00.000Z,ETH,enter,trend,strict6,1,1813.16,5.267,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0002
2023-03-24T18:00:00.000Z,ETH,exit,trend,trend,1,1737.51,5.267,sma-break,retq22-0002
2023-04-04T00:00:00.000Z,ETH,enter,trend,strict6,1,1810.51,5.023,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0003
2023-04-15T00:00:00.000Z,ETH,exit,trend,trend,1,2099.99,5.023,trend-switch,retq22-0003
2023-04-15T00:00:00.000Z,SOL,enter,trend,strict6,1,24.72,424.38,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0004
2023-04-19T12:00:00.000Z,SOL,exit,trend,trend,1,23.21,424.38,sma-break,retq22-0004
2023-04-20T12:00:00.000Z,SOL,enter,trend,strict6,1,22.34,438.18,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0005
2023-04-20T18:00:00.000Z,SOL,exit,trend,trend,1,22.06,438.18,sma-break,retq22-0005
2023-05-29T00:00:00.000Z,ETH,enter,trend,strict6,1,1908.64,5.033,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0006
2023-05-29T12:00:00.000Z,ETH,exit,trend,trend,1,1903.26,5.033,risk-off,retq22-0006
2023-06-25T12:00:00.000Z,ETH,enter,trend,strict6,1,1918.37,4.964,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0007
2023-06-29T00:00:00.000Z,ETH,exit,trend,trend,1,1828.03,4.964,sma-break,retq22-0007
2023-07-01T00:00:00.000Z,SOL,enter,trend,strict6,1,18.85,478.46000000000004,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0008
2023-07-17T12:00:00.000Z,SOL,exit,trend,trend,1,27.14,478.46000000000004,trend-switch,retq22-0008
2023-07-17T12:00:00.000Z,ETH,enter,trend,strict6,1,1910.09,6.763,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0009
2023-07-17T18:00:00.000Z,ETH,exit,trend,trend,1,1896.03,6.763,sma-break,retq22-0009
2023-07-23T00:00:00.000Z,SOL,enter,trend,strict6,1,24.52,519.86,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0010
2023-07-23T06:00:00.000Z,SOL,exit,trend,trend,1,24.83,519.86,sma-break,retq22-0010
2023-07-28T12:00:00.000Z,ETH,enter,range,range-reclaim,0.5,1866.63,3.4370000000000003,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0011
2023-07-29T06:00:00.000Z,ETH,exit,range,range-reclaim,0.5,1874.76,3.4370000000000003,range-time,retq22-0011
2023-08-03T00:00:00.000Z,ETH,enter,range,range-reclaim,0.5,1839.9,3.484,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0012
2023-08-03T18:00:00.000Z,ETH,exit,range,range-reclaim,0.5,1846.66,3.484,range-time,retq22-0012
2023-08-08T12:00:00.000Z,ETH,enter,range,range-reclaim,0.5,1839.08,3.481,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0013
2023-08-08T18:00:00.000Z,ETH,exit,range,range-reclaim,0.5,1853.5,3.481,mean-revert,retq22-0013
2023-09-27T00:00:00.000Z,ETH,enter,range,range-reclaim,0.5,1594.02,4.0200000000000005,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,retq22-0014
2023-09-27T12:00:00.000Z,ETH,exit,range,range-reclaim,0.5,1629.63,4.0200000000000005,mean-revert,retq22-0014
2023-10-02T12:00:00.000Z,SOL,enter,trend,strict6,1,23.83,542.24,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0015
2023-10-09T12:00:00.000Z,SOL,exit,trend,trend,1,22.18,542.24,sma-break,retq22-0015
2023-10-19T00:00:00.000Z,SOL,enter,trend,strict6,1,23.41,510.55,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0016
2023-11-04T12:00:00.000Z,SOL,exit,trend,trend,1,41.52,510.55,trend-switch,retq22-0016
2023-11-04T12:00:00.000Z,ETH,enter,trend,strict6,1,1837.49,11.482000000000001,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0017
2023-11-10T00:00:00.000Z,ETH,exit,trend,trend,1,2121.33,11.482000000000001,trend-switch,retq22-0017
2023-11-10T00:00:00.000Z,SOL,enter,trend,strict6,1,45.3,534.6800000000001,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0018
2023-11-15T12:00:00.000Z,SOL,exit,trend,trend,1,62.98,534.6800000000001,trend-switch,retq22-0018
2023-11-15T12:00:00.000Z,ETH,enter,trend,strict6,1,2013.16,16.64,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0019
2023-11-17T00:00:00.000Z,ETH,exit,trend,trend,1,1961.77,16.64,sma-break,retq22-0019
2023-11-26T12:00:00.000Z,ETH,enter,trend,strict6,1,2084.65,15.564,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0020
2023-11-27T18:00:00.000Z,ETH,exit,trend,trend,1,2010.45,15.564,sma-break,retq22-0020
2023-12-02T00:00:00.000Z,ETH,enter,trend,strict6,1,2087.24,14.9,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0021
2023-12-07T12:00:00.000Z,ETH,exit,trend,trend,1,2236.04,14.9,trend-switch,retq22-0021
2023-12-07T12:00:00.000Z,AVAX,enter,trend,strict6,1,26.52,1249.06,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,retq22-0022
2023-12-24T00:00:00.000Z,AVAX,exit,trend,trend,1,48.04,1249.06,trend-switch,retq22-0022
2023-12-24T00:00:00.000Z,ETH,enter,trend,strict6,1,2308.2,25.875,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0023
2023-12-26T06:00:00.000Z,ETH,exit,trend,trend,1,2234.69,25.875,sma-break,retq22-0023
2023-12-29T12:00:00.000Z,SOL,enter,trend,strict6,1,107.56,534.3100000000001,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0024
2023-12-31T00:00:00.000Z,SOL,exit,trend,trend,1,101.9,534.3100000000001,sma-break,retq22-0024
2024-01-04T00:00:00.000Z,AVAX,enter,range,range-atr_snapback,0.4,36.79,588.32,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,retq22-0025
2024-01-05T00:00:00.000Z,AVAX,exit,range,range-atr_snapback,0.4,38.72,588.32,range-time,retq22-0025
2024-01-09T12:00:00.000Z,ETH,enter,trend,strict6,1,2298.77,23.975,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0026
2024-01-09T18:00:00.000Z,ETH,exit,trend,trend,1,2264,23.975,sma-break,retq22-0026
2024-02-11T12:00:00.000Z,SOL,enter,trend,strict6,1,109.71,491.76,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0027
2024-02-17T00:00:00.000Z,SOL,exit,trend,trend,1,110.32,491.76,trend-switch,retq22-0027
2024-02-17T00:00:00.000Z,ETH,enter,trend,strict6,1,2801.81,19.247,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0028
2024-03-10T00:00:00.000Z,ETH,exit,trend,trend,1,3905.2,19.247,trend-switch,retq22-0028
2024-03-10T00:00:00.000Z,SOL,enter,trend,strict6,1,144.3,518.2,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0029
2024-03-20T06:00:00.000Z,SOL,exit,trend,trend,1,166.05,518.2,sma-break,retq22-0029
2024-03-26T12:00:00.000Z,SOL,enter,trend,strict6,1,194.8,439.24,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0030
2024-03-27T18:00:00.000Z,SOL,exit,trend,trend,1,183.14,439.24,sma-break,retq22-0030
2024-04-01T00:00:00.000Z,SOL,enter,trend,strict6,1,202.45,394.88,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0031
2024-04-02T06:00:00.000Z,SOL,exit,trend,trend,1,184.5,394.88,sma-break,retq22-0031
2024-04-06T12:00:00.000Z,AVAX,enter,range,range-atr_snapback,0.4,46.92,617.2,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,retq22-0032
2024-04-07T06:00:00.000Z,AVAX,exit,range,range-atr_snapback,0.4,48.84,617.2,range-momentum,retq22-0032
2024-05-20T12:00:00.000Z,SOL,enter,trend,strict6,1,177.72,413.04,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0033
2024-05-24T12:00:00.000Z,SOL,exit,trend,trend,1,166.34,413.04,sma-break,retq22-0033
2024-05-26T00:00:00.000Z,SOL,enter,trend,strict6,1,168.35,405.58,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0034
2024-05-26T06:00:00.000Z,SOL,exit,trend,trend,1,166.71,405.58,sma-break,retq22-0034
2024-05-31T12:00:00.000Z,ETH,enter,trend,strict6,1,3802.62,17.673000000000002,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0035
2024-05-31T18:00:00.000Z,ETH,exit,trend,trend,1,3768.16,17.673000000000002,sma-break,retq22-0035
2024-06-06T00:00:00.000Z,ETH,enter,trend,strict6,1,3866,17.122,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0036
2024-06-07T18:00:00.000Z,ETH,exit,trend,trend,1,3724.06,17.122,sma-break,retq22-0036
2024-07-20T00:00:00.000Z,SOL,enter,trend,strict6,1,169.12,374.74,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0037
2024-07-30T18:00:00.000Z,SOL,exit,trend,trend,1,177.38,374.74,sma-break,retq22-0037
2024-07-31T00:00:00.000Z,SOL,enter,trend,strict6,1,179.16,368.84000000000003,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,retq22-0038
2024-08-01T00:00:00.000Z,SOL,exit,trend,trend,1,171.7,368.84000000000003,sma-break,retq22-0038
2024-09-24T00:00:00.000Z,ETH,enter,trend,strict6,1,2646.98,23.778000000000002,trend-close>sma40|mom20-ok|eff-ok|retq22-off,retq22-0039
